window_start_index,window_start_TR,mean_anxiety,mean_scaled_anxiety,binned_anxiety
71,71,-0.12017248669270832,0.30909468830991416,low
76,76,-0.08309475335937495,0.32271106303821884,low
81,81,-0.10742236447048609,0.31377702529229334,low
86,86,-0.13386719780381942,0.3040654618302813,low
91,91,-0.1665325089149305,0.29206949884336164,low
96,96,-0.27302534224826386,0.25296122025714207,low
101,101,-0.43184688669270826,0.19463581927748014,low
106,106,-0.49139775335937497,0.17276644261847976,low
111,111,-0.5669858644704859,0.14500757082767582,low
116,116,-0.46732986447048613,0.18160510034019353,low
121,121,-0.36380287558159724,0.2196242063769921,low
126,126,-0.37307782002604173,0.2162180888022097,low
131,131,-0.39113214224826387,0.20958784485948387,low
136,136,-0.4036782200260417,0.20498044087238257,low
141,141,-0.3754481978038195,0.21534759459535777,low
146,146,-0.5373685533593751,0.15588419057430733,low
151,151,-0.7187691978038194,0.08926687261407124,low
156,156,-0.7882053311371527,0.06376724450435602,low
161,161,-0.8176759866927085,0.052944482338026955,low
166,166,-0.7743630644704862,0.06885065907902763,low
171,171,-0.6972458200260417,0.09717108764810121,low
176,176,-0.5916424866927082,0.13595270750327212,low
181,181,-0.4883286311371527,0.17389354275399896,low
186,186,-0.4042842089149305,0.2047578983636991,low
191,191,-0.30228393113715285,0.2422163371557159,low
196,196,-0.2691966866927083,0.25436725034753016,low
201,201,-0.26543209780381943,0.2557497526852079,low
206,206,-0.28006765335937495,0.25037501181284155,low
211,211,-0.29476155335937493,0.24497884460861916,low
216,216,-0.31837365335937495,0.23630757015848544,low
221,221,-0.30538872002604156,0.24107613884360973,low
226,226,-0.24320016447048604,0.26391417666657363,low
231,231,-0.21032018669270833,0.2759889735387454,low
236,236,-0.19599839780381945,0.2812484871810064,low
241,241,-0.2139711644704861,0.27464819358599024,low
246,246,-0.20636269780381944,0.2774423162015713,low
251,251,-0.2369312644704861,0.2662163587003802,low
256,256,-0.27951419780381936,0.25057826205395406,low
261,261,-0.26558476447048607,0.25569368759290123,low
266,266,-0.2166230978038195,0.2736743013122496,low
271,271,-0.11984598669270836,0.30921459171147386,low
276,276,-0.0068826311371527945,0.35069909579329006,medium
281,281,0.08861829108506943,0.38577072037686183,medium
286,286,0.1550835688628472,0.41017933566374787,medium
291,291,0.18156399108506943,0.41990396873934505,medium
296,296,0.1787104244184027,0.41885602892338536,medium
301,301,0.14930147997395826,0.408055929458852,medium
306,306,0.05979223552951387,0.3751846802094469,medium
311,311,-0.03572223113715279,0.3401080815831151,medium
316,316,-0.13843483113715277,0.30238805057838447,low
321,321,-0.23594450891493057,0.266578733425094,low
326,326,-0.3482988644704861,0.22531787764817796,low
331,331,-0.4276174533593749,0.1961890304362452,low
336,336,-0.41866616447048605,0.19947628919925178,low
341,341,-0.355437153359375,0.22269642245952911,low
346,346,-0.11931768669270827,0.30940860386168534,low
351,351,0.21341591330729176,0.4316012239327925,medium
